DATE_OF_SURVEY,YEAR,MONTH,DAY,REGION,BED,BED_NAME,HARVESTED,TOTAL,AVAILABLE,DATE_PREVIOUS_SURVEY,Notes
03/11/1958,1958,3,11,"Southern","23","Santa Barbara Breakwater",-99999,-99999,-99999,01/01/1800," "
03/11/1958,1958,3,11,"Southern","27","Coal Oil Point",-99999,-99999,-99999,01/01/1800," "
03/11/1958,1958,3,11,"Southern","29","El Refugio",-99999,-99999,-99999,01/01/1800," "
03/11/1958,1958,3,11,"Southern","31","Gaviota",-99999,-99999,-99999,01/01/1800," "
03/11/1958,1958,3,11,"Southern","33","Point Conception",-99999,-99999,-99999,01/01/1800," "
03/11/1958,1958,3,11,"Southern","34","Point Arguello",-99999,-99999,-99999,01/01/1800," "
03/11/1958,1958,3,11,"Southern","105","Santa Catalina Island",-99999,-99999,-99999,01/01/1800," "
03/11/1958,1958,3,11,"Southern","106","Santa Barbara Island",-99999,-99999,-99999,01/01/1800," "
03/11/1958,1958,3,11,"Southern","109","Anacapa Island",-99999,-99999,-99999,01/01/1800," "
03/11/1958,1958,3,11,"Southern","110","Santa Cruz Island (N)",-99999,-99999,-99999,01/01/1800," "
03/11/1958,1958,3,11,"Southern","111","Santa Cruz Island (W)",-99999,-99999,-99999,01/01/1800," "
03/11/1958,1958,3,11,"Southern","112","Santa Cruz Island (N)",-99999,-99999,-99999,01/01/1800," "
03/11/1958,1958,3,11,"Southern","113","Santa Rosa Island (SE)",-99999,-99999,-99999,01/01/1800," "
03/11/1958,1958,3,11,"Southern","116","Santa Rosa Island (NE)",-99999,-99999,-99999,01/01/1800," "
03/11/1958,1958,3,11,"Southern","117","San Miguel Island (S)",-99999,-99999,-99999,01/01/1800," "
03/11/1958,1958,3,11,"Southern","118","San Miguel Island (N)",-99999,-99999,-99999,01/01/1800," "
03/23/1958,1958,3,23,"Southern","4","Del Mar",-99999,300,-99999,01/01/1800," "
04/15/1958,1958,4,15,"Southern","104","San Clemente Island (E)",-99999,900,-99999,01/01/1800," "
04/24/1958,1958,4,24,"Southern","101","San Clemente Island (S)",-99999,0,-99999,01/30/1958," "
04/24/1958,1958,4,24,"Southern","102","San Clemente Island (W)",-99999,0,-99999,02/15/1958," "
04/24/1958,1958,4,24,"Southern","103","San Clemente Island (N)",-99999,0,-99999,02/15/1958," "
05/07/1958,1958,5,7,"Baja","102"," ",-99999,-99999,-99999,01/01/1800," "
05/07/1958,1958,5,7,"Baja","103"," ",-99999,-99999,-99999,01/01/1800," "
05/07/1958,1958,5,7,"Baja","104"," ",-99999,-99999,-99999,01/01/1800," "
05/07/1958,1958,5,7,"Baja","105"," ",-99999,-99999,-99999,01/01/1800," "
05/07/1958,1958,5,7,"Baja","106"," ",-99999,-99999,-99999,01/01/1800," "
05/07/1958,1958,5,7,"Baja","107"," ",-99999,600,-99999,01/01/1800," "
05/07/1958,1958,5,7,"Baja","108"," ",-99999,600,-99999,01/01/1800," "
05/07/1958,1958,5,7,"Baja","109"," ",3300,1800,-99999,01/01/1800," "
05/07/1958,1958,5,7,"Baja","110"," ",-99999,-99999,-99999,01/01/1800," "
05/07/1958,1958,5,7,"Baja","111"," ",-99999,-99999,-99999,01/01/1800," "
05/07/1958,1958,5,7,"Baja","112"," ",-99999,-99999,-99999,01/01/1800," "
05/07/1958,1958,5,7,"Baja","113","Rosario Bay",-99999,-99999,-99999,01/01/1800," "
05/07/1958,1958,5,7,"Baja","115","Punta San Carlos",-99999,-99999,-99999,01/01/1800," "
05/07/1958,1958,5,7,"Baja","101 A","W. Coronado Islands",-99999,-99999,-99999,01/01/1800," "
05/07/1958,1958,5,7,"Baja","101 B","Tijuana",-99999,-99999,-99999,01/01/1800," "
05/07/1958,1958,5,7,"Baja","101 C","Potpola",-99999,-99999,-99999,01/01/1800," "
05/07/1958,1958,5,7,"Baja","101 D","Descanso Bay",-99999,-99999,-99999,01/01/1800," "
05/07/1958,1958,5,7,"Baja","101 E","Punta Mesquite",-99999,-99999,-99999,01/01/1800," "
05/07/1958,1958,5,7,"Baja","114 A","Geronimo Island",-99999,-99999,-99999,01/01/1800," "
05/07/1958,1958,5,7,"Baja","114 B","Sacramento Reef",-99999,-99999,-99999,01/01/1800," "
05/15/1958,1958,5,15,"Southern","1","Imperial Beach",-99999,-99999,-99999,01/01/1800," "
05/15/1958,1958,5,15,"Southern","2","Coronado",-99999,100,-99999,12/27/1957," "
05/15/1958,1958,5,15,"Southern","3","Point Loma",-99999,300,-99999,03/04/1958," "
05/15/1958,1958,5,15,"Southern","4","Del Mar",-99999,300,-99999,03/23/1958," "
05/15/1958,1958,5,15,"Southern","5","Encinitas",-99999,200,-99999,03/04/1958," "
05/15/1958,1958,5,15,"Southern","6","Las Flores",-99999,1100,-99999,03/04/1958," "
05/15/1958,1958,5,15,"Southern","7","San Onofre",-99999,-99999,-99999,01/01/1800," "
05/15/1958,1958,5,15,"Southern","8","Capistrano Beach",-99999,-99999,-99999,01/01/1800," "
05/15/1958,1958,5,15,"Southern","9","San Clemente",-99999,-99999,-99999,01/01/1800," "
05/15/1958,1958,5,15,"Southern","10","Corona Del Mar",-99999,-99999,-99999,01/01/1800," "
05/15/1958,1958,5,15,"Southern","13","Palos Verdes",-99999,-99999,-99999,01/01/1800," "
05/15/1958,1958,5,15,"Southern","14","Redondo Beach",-99999,-99999,-99999,01/01/1800," "
05/15/1958,1958,5,15,"Southern","15","Pacific Palisades",-99999,-99999,-99999,01/01/1800," "
05/15/1958,1958,5,15,"Southern","16","Malibu",-99999,-99999,-99999,01/01/1800," "
05/15/1958,1958,5,15,"Southern","17","Point Dume",-99999,-99999,-99999,01/01/1800," "
05/15/1958,1958,5,15,"Southern","18","Ventura",-99999,-99999,-99999,01/01/1800," "
05/15/1958,1958,5,15,"Southern","19","Rincon Point",-99999,-99999,-99999,01/01/1800," "
05/15/1958,1958,5,15,"Southern","20","Carpinteria",-99999,450,-99999,," "
05/15/1958,1958,5,15,"Southern","21","Summerland",-99999,4200,-99999,02/04/1958," "
05/15/1958,1958,5,15,"Southern","22","Santa Barbara",-99999,100,-99999,02/03/1958," "
05/15/1958,1958,5,15,"Southern","23","Santa Barbara Breakwater",-99999,0,-99999,01/01/1800," "
05/15/1958,1958,5,15,"Southern","24","Arroyo Burro",-99999,0,-99999,11/25/1957," "
05/15/1958,1958,5,15,"Southern","25","Hope Ranch",-99999,300,-99999,12/01/1957," "
05/15/1958,1958,5,15,"Southern","26","Goleta",-99999,0,-99999,11/25/1957," "
05/15/1958,1958,5,15,"Southern","27","Coal Oil Point",-99999,0,-99999,01/01/1800," "
05/15/1958,1958,5,15,"Southern","28","Naples",-99999,300,-99999,10/09/1957," "
05/15/1958,1958,5,15,"Southern","29","El Refugio",-99999,-99999,-99999,01/01/1800," "
05/15/1958,1958,5,15,"Southern","30","Tajiguas",-99999,0,-99999,11/15/1957," "
05/15/1958,1958,5,15,"Southern","31","Gaviota",-99999,9000,-99999,01/01/1800," "
05/15/1958,1958,5,15,"Southern","32","San Augustine",-99999,15000,-99999,11/02/1957," "
05/15/1958,1958,5,15,"Southern","33","Point Conception",-99999,270,-99999,01/01/1800," "
05/15/1958,1958,5,15,"Southern","34","Point Arguello",-99999,270,-99999,01/01/1800," "
05/15/1958,1958,5,15,"Southern","101","San Clemente Island (S)",-99999,0,-99999,04/24/1958," "
05/15/1958,1958,5,15,"Southern","102","San Clemente Island (W)",-99999,300,-99999,02/15/1958," "
05/15/1958,1958,5,15,"Southern","103","San Clemente Island (N)",-99999,300,-99999,02/15/1958," "
05/15/1958,1958,5,15,"Southern","104","San Clemente Island (E)",-99999,600,-99999,02/15/1958," "
05/15/1958,1958,5,15,"Southern","105","Santa Catalina Island",-99999,-99999,-99999,01/01/1800," "
05/15/1958,1958,5,15,"Southern","106","Santa Barbara Island",-99999,-99999,-99999,01/01/1800," "
05/15/1958,1958,5,15,"Southern","109","Anacapa Island",-99999,0,-99999,01/01/1800," "
05/15/1958,1958,5,15,"Southern","110","Santa Cruz Island (N)",-99999,-99999,-99999,01/01/1800," "
05/15/1958,1958,5,15,"Southern","111","Santa Cruz Island (W)",-99999,900,-99999,01/01/1800," "
05/15/1958,1958,5,15,"Southern","112","Santa Cruz Island (N)",-99999,-99999,-99999,01/01/1800," "
05/15/1958,1958,5,15,"Southern","113","Santa Rosa Island (SE)",-99999,1200,-99999,01/01/1800," "
05/15/1958,1958,5,15,"Southern","114","Santa Rosa Island (SW)",-99999,1200,-99999,09/11/1957," "
05/15/1958,1958,5,15,"Southern","115","Santa Rosa Island (NW)",-99999,300,-99999,08/13/1957," "
05/15/1958,1958,5,15,"Southern","116","Santa Rosa Island (NE)",-99999,-99999,-99999,01/01/1800," "
05/15/1958,1958,5,15,"Southern","117","San Miguel Island (S)",-99999,0,-99999,01/01/1800," "
05/15/1958,1958,5,15,"Southern","118","San Miguel Island (N)",-99999,0,-99999,01/01/1800," "
05/15/1958,1958,5,15,"Southern","107A","San Nicolas Island",-99999,300,-99999,02/22/1958," "
05/15/1958,1958,5,15,"Southern","107B","San Nicolas Island (Foul)",-99999,300,-99999,02/22/1958," "
05/15/1958,1958,5,15,"Southern","108A","San Nicolas Island (Rockpile)",-99999,300,-99999,02/22/1958," "
05/15/1958,1958,5,15,"Southern","108B","San Nicolas Island (Westend)",-99999,300,-99999,02/22/1958," "
05/15/1958,1958,5,15,"Southern","108C","San Nicolas Island (Barrack)",-99999,300,-99999,02/22/1958," "
05/21/1958,1958,5,21,"Southern","29","El Refugio",-99999,0,-99999,01/01/1800," "
05/21/1958,1958,5,21,"Southern","30","Tajiguas",-99999,15000,-99999,05/15/1958," "
05/29/1958,1958,5,29,"Southern","20","Carpinteria",-99999,0,-99999,05/15/1958," "
05/29/1958,1958,5,29,"Southern","21","Summerland",-99999,0,-99999,05/15/1958," "
05/29/1958,1958,5,29,"Southern","22","Santa Barbara",-99999,0,-99999,05/15/1958," "
05/29/1958,1958,5,29,"Southern","23","Santa Barbara Breakwater",-99999,0,-99999,05/15/1958," "
05/29/1958,1958,5,29,"Southern","24","Arroyo Burro",-99999,0,-99999,05/15/1958," "
05/29/1958,1958,5,29,"Southern","27","Coal Oil Point",-99999,0,-99999,05/15/1958," "
06/01/1958,1958,6,1,"Southern","31","Gaviota",-99999,1500,-99999,05/15/1958," "
06/01/1958,1958,6,1,"Southern","32","San Augustine",-99999,-99999,-99999,01/01/1800," "
06/03/1958,1958,6,3,"Southern","104","San Clemente Island (E)",-99999,225,-99999,04/15/1958," "
06/04/1958,1958,6,4,"Southern","25","Hope Ranch",-99999,300,-99999,05/15/1958," "
06/04/1958,1958,6,4,"Southern","28","Naples",-99999,300,-99999,05/15/1958," "
06/05/1958,1958,6,5,"Southern","115","Santa Rosa Island (NW)",-99999,4500,-99999,05/15/1958," "
06/10/1958,1958,6,10,"Southern","31","Gaviota",-99999,7500,-99999,06/01/1958," "
06/11/1958,1958,6,11,"Southern","1","Imperial Beach",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","2","Coronado",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","3","Point Loma",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","4","Del Mar",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","5","Encinitas",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","6","Las Flores",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","7","San Onofre",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","8","Capistrano Beach",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","9","San Clemente",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","10","Corona Del Mar",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","13","Palos Verdes",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","14","Redondo Beach",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","15","Pacific Palisades",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","16","Malibu",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","17","Point Dume",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","18","Ventura",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","19","Rincon Point",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","26","Goleta",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","33","Point Conception",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","34","Point Arguello",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","105","Santa Catalina Island",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","106","Santa Barbara Island",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","109","Anacapa Island",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","110","Santa Cruz Island (N)",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","111","Santa Cruz Island (W)",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","112","Santa Cruz Island (N)",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","113","Santa Rosa Island (SE)",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","114","Santa Rosa Island (SW)",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","116","Santa Rosa Island (NE)",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","117","San Miguel Island (S)",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","118","San Miguel Island (N)",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","107A","San Nicolas Island",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","107B","San Nicolas Island (Foul)",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","108A","San Nicolas Island (Rockpile)",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","108B","San Nicolas Island (Westend)",-99999,-99999,-99999,01/01/1800," "
06/11/1958,1958,6,11,"Southern","108C","San Nicolas Island (Barrack)",-99999,-99999,-99999,01/01/1800," "
07/02/1958,1958,7,2,"Southern","1","Imperial Beach",-99999,-99999,-99999,01/01/1800," "
07/02/1958,1958,7,2,"Southern","2","Coronado",-99999,-99999,-99999,01/01/1800," "
07/02/1958,1958,7,2,"Southern","3","Point Loma",-99999,0,0,06/03/1958," "
07/02/1958,1958,7,2,"Southern","4","Del Mar",-99999,0,0,05/14/1958," "
07/02/1958,1958,7,2,"Southern","5","Encinitas",-99999,0,0,03/04/1958," "
07/02/1958,1958,7,2,"Southern","6","Las Flores",-99999,0,0,01/01/1800," "
07/02/1958,1958,7,2,"Southern","7","San Onofre",-99999,-99999,-99999,01/01/1800," "
07/02/1958,1958,7,2,"Southern","8","Capistrano Beach",-99999,0,0,01/01/1800," "
07/02/1958,1958,7,2,"Southern","9","San Clemente",-99999,600,300,01/01/1800," "
07/02/1958,1958,7,2,"Southern","10","Corona Del Mar",-99999,-99999,-99999,01/01/1800," "
07/02/1958,1958,7,2,"Southern","13","Palos Verdes",-99999,-99999,-99999,01/01/1800," "
07/02/1958,1958,7,2,"Southern","14","Redondo Beach",-99999,-99999,-99999,01/01/1800," "
07/02/1958,1958,7,2,"Southern","15","Pacific Palisades",-99999,-99999,-99999,01/01/1800," "
07/02/1958,1958,7,2,"Southern","16","Malibu",-99999,-99999,-99999,01/01/1800," "
07/02/1958,1958,7,2,"Southern","17","Point Dume",-99999,5000,-99999,01/01/1800," "
07/02/1958,1958,7,2,"Southern","18","Ventura",-99999,-99999,-99999,01/01/1800," "
07/02/1958,1958,7,2,"Southern","19","Rincon Point",-99999,-99999,-99999,01/01/1800," "
07/02/1958,1958,7,2,"Southern","20","Carpinteria",-99999,0,0,05/29/1958," "
07/02/1958,1958,7,2,"Southern","21","Summerland",-99999,0,0,05/29/1958," "
07/02/1958,1958,7,2,"Southern","22","Santa Barbara",-99999,0,0,05/29/1958," "
07/02/1958,1958,7,2,"Southern","23","Santa Barbara Breakwater",-99999,0,0,05/29/1958," "
07/02/1958,1958,7,2,"Southern","24","Arroyo Burro",-99999,0,0,05/29/1958," "
07/02/1958,1958,7,2,"Southern","25","Hope Ranch",-99999,0,0,05/29/1958," "
07/02/1958,1958,7,2,"Southern","26","Goleta",-99999,0,0,05/29/1958," "
07/02/1958,1958,7,2,"Southern","27","Coal Oil Point",-99999,0,0,05/29/1958," "
07/02/1958,1958,7,2,"Southern","28","Naples",-99999,600,600,06/04/1958," "
07/02/1958,1958,7,2,"Southern","29","El Refugio",-99999,0,0,05/21/1958," "
07/02/1958,1958,7,2,"Southern","30","Tajiguas",-99999,7500,6000,05/21/1958," "
07/02/1958,1958,7,2,"Southern","31","Gaviota",-99999,7500,6000,06/10/1958," "
07/02/1958,1958,7,2,"Southern","32","San Augustine",-99999,-99999,-99999,01/01/1800," "
07/02/1958,1958,7,2,"Southern","33","Point Conception",-99999,0,0,05/15/1958," "
07/02/1958,1958,7,2,"Southern","34","Point Arguello",-99999,-99999,-99999,01/01/1800," "
07/02/1958,1958,7,2,"Southern","101","San Clemente Island (S)",-99999,0,0,04/24/1958," "
07/02/1958,1958,7,2,"Southern","102","San Clemente Island (W)",-99999,900,300,04/24/1958," "
07/02/1958,1958,7,2,"Southern","103","San Clemente Island (N)",-99999,-99999,-99999,01/01/1800," "
07/02/1958,1958,7,2,"Southern","104","San Clemente Island (E)",-99999,0,0,06/03/1958," "
07/02/1958,1958,7,2,"Southern","105","Santa Catalina Island",-99999,-99999,-99999,01/01/1800," "
07/02/1958,1958,7,2,"Southern","106","Santa Barbara Island",-99999,-99999,-99999,01/01/1800," "
07/02/1958,1958,7,2,"Southern","109","Anacapa Island",-99999,-99999,-99999,01/01/1800," "
07/02/1958,1958,7,2,"Southern","110","Santa Cruz Island (N)",-99999,-99999,-99999,01/01/1800," "
07/02/1958,1958,7,2,"Southern","111","Santa Cruz Island (W)",-99999,900,900,05/15/1958," "
07/02/1958,1958,7,2,"Southern","112","Santa Cruz Island (N)",-99999,-99999,-99999,01/01/1800," "
07/02/1958,1958,7,2,"Southern","113","Santa Rosa Island (SE)",-99999,600,300,05/15/1958," "
07/02/1958,1958,7,2,"Southern","114","Santa Rosa Island (SW)",-99999,1800,1500,05/15/1958," "
07/02/1958,1958,7,2,"Southern","115","Santa Rosa Island (NW)",-99999,3000,2400,05/15/1958," "
07/02/1958,1958,7,2,"Southern","116","Santa Rosa Island (NE)",-99999,-99999,-99999,01/01/1800," "
07/02/1958,1958,7,2,"Southern","117","San Miguel Island (S)",-99999,-99999,-99999,01/01/1800," "
07/02/1958,1958,7,2,"Southern","118","San Miguel Island (N)",-99999,-99999,-99999,01/01/1800," "
07/02/1958,1958,7,2,"Southern","107A","San Nicolas Island",-99999,120,60,02/22/1958," "
07/02/1958,1958,7,2,"Southern","107B","San Nicolas Island (Foul)",-99999,120,60,02/22/1958," "
07/02/1958,1958,7,2,"Southern","108A","San Nicolas Island (Rockpile)",-99999,120,60,02/22/1958," "
07/02/1958,1958,7,2,"Southern","108B","San Nicolas Island (Westend)",-99999,120,60,02/22/1958," "
07/02/1958,1958,7,2,"Southern","108C","San Nicolas Island (Barrack)",-99999,120,60,02/22/1958," "
08/08/1958,1958,8,8,"Southern","104","San Clemente Island (E)",-99999,1050,-99999,07/02/1958," "
09/11/1958,1958,9,11,"Southern","1","Imperial Beach",-99999,-99999,-99999,01/01/1800," "
09/11/1958,1958,9,11,"Southern","2","Coronado",-99999,-99999,-99999,01/01/1800," "
09/11/1958,1958,9,11,"Southern","3","Point Loma",-99999,-99999,-99999,01/01/1800," "
09/11/1958,1958,9,11,"Southern","4","Del Mar",-99999,0,0,07/02/1958," "
09/11/1958,1958,9,11,"Southern","5","Encinitas",-99999,0,0,07/02/1958," "
09/11/1958,1958,9,11,"Southern","6","Las Flores",-99999,1080,810,07/02/1958," "
09/11/1958,1958,9,11,"Southern","7","San Onofre",-99999,-99999,-99999,01/01/1800," "
09/11/1958,1958,9,11,"Southern","8","Capistrano Beach",-99999,0,0,07/02/1958," "
09/11/1958,1958,9,11,"Southern","9","San Clemente",-99999,0,0,07/02/1958," "
09/11/1958,1958,9,11,"Southern","10","Corona Del Mar",-99999,-99999,-99999,01/01/1800," "
09/11/1958,1958,9,11,"Southern","13","Palos Verdes",-99999,-99999,-99999,01/01/1800," "
09/11/1958,1958,9,11,"Southern","14","Redondo Beach",-99999,-99999,-99999,01/01/1800," "
09/11/1958,1958,9,11,"Southern","15","Pacific Palisades",-99999,-99999,-99999,01/01/1800," "
09/11/1958,1958,9,11,"Southern","16","Malibu",-99999,-99999,-99999,01/01/1800," "
09/11/1958,1958,9,11,"Southern","17","Point Dume",-99999,-99999,-99999,01/01/1800," "
09/11/1958,1958,9,11,"Southern","18","Ventura",-99999,-99999,-99999,01/01/1800," "
09/11/1958,1958,9,11,"Southern","19","Rincon Point",-99999,-99999,-99999,01/01/1800," "
09/11/1958,1958,9,11,"Southern","20","Carpinteria",-99999,810,540,07/02/1958," "
09/11/1958,1958,9,11,"Southern","21","Summerland",-99999,0,0,07/02/1958," "
09/11/1958,1958,9,11,"Southern","22","Santa Barbara",-99999,270,270,07/02/1958," "
09/11/1958,1958,9,11,"Southern","23","Santa Barbara Breakwater",-99999,-99999,-99999,01/01/1800," "
09/11/1958,1958,9,11,"Southern","24","Arroyo Burro",-99999,0,0,07/02/1958," "
09/11/1958,1958,9,11,"Southern","25","Hope Ranch",-99999,0,0,07/02/1958," "
09/11/1958,1958,9,11,"Southern","26","Goleta",-99999,-99999,-99999,01/01/1800," "
09/11/1958,1958,9,11,"Southern","27","Coal Oil Point",-99999,-99999,-99999,01/01/1800," "
09/11/1958,1958,9,11,"Southern","28","Naples",-99999,540,270,07/02/1958," "
09/11/1958,1958,9,11,"Southern","29","El Refugio",-99999,5130,3780,07/02/1958," "
09/11/1958,1958,9,11,"Southern","30","Tajiguas",-99999,-99999,-99999,01/01/1800," "
09/11/1958,1958,9,11,"Southern","31","Gaviota",-99999,-99999,-99999,01/01/1800," "
09/11/1958,1958,9,11,"Southern","32","San Augustine",-99999,-99999,-99999,01/01/1800," "
09/11/1958,1958,9,11,"Southern","33","Point Conception",-99999,4860,3780,07/02/1958," "
09/11/1958,1958,9,11,"Southern","34","Point Arguello",-99999,900,-99999,07/02/1958," "
09/11/1958,1958,9,11,"Southern","101","San Clemente Island (S)",-99999,-99999,-99999,01/01/1800," "
09/11/1958,1958,9,11,"Southern","102","San Clemente Island (W)",-99999,270,270,07/02/1958," "
09/11/1958,1958,9,11,"Southern","103","San Clemente Island (N)",-99999,-99999,-99999,01/01/1800," "
09/11/1958,1958,9,11,"Southern","104","San Clemente Island (E)",-99999,0,0,08/08/1958," "
09/11/1958,1958,9,11,"Southern","105","Santa Catalina Island",-99999,-99999,-99999,01/01/1800," "
09/11/1958,1958,9,11,"Southern","106","Santa Barbara Island",-99999,-99999,-99999,01/01/1800," "
09/11/1958,1958,9,11,"Southern","109","Anacapa Island",-99999,-99999,-99999,01/01/1800," "
09/11/1958,1958,9,11,"Southern","110","Santa Cruz Island (N)",-99999,-99999,-99999,01/01/1800," "
09/11/1958,1958,9,11,"Southern","111","Santa Cruz Island (W)",-99999,0,0,07/02/1958," "
09/11/1958,1958,9,11,"Southern","112","Santa Cruz Island (N)",-99999,-99999,-99999,01/01/1800," "
09/11/1958,1958,9,11,"Southern","113","Santa Rosa Island (SE)",-99999,-99999,-99999,01/01/1800," "
09/11/1958,1958,9,11,"Southern","114","Santa Rosa Island (SW)",-99999,2700,2700,07/02/1958," "
